Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,92.1|7.1|0.8|0.0
Mod-5ranked_unsupervised_1.pdb,92.1|7.1|0.8|0.0
Mod-5ranked_unsupervised_2.pdb,91.3|7.9|0.8|0.0
Mod-5ranked_unsupervised_3.pdb,91.3|7.9|0.8|0.0
Mod-5ranked_unsupervised_4.pdb,91.3|7.9|0.8|0.0
