7MBY-D1,ranked,ranked_0,1.217
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.249
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.395
7MBY-D1,ranked,ranked_1,1.206
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.237
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,2.506
7MBY-D1,ranked,ranked_2,1.626
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.200
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.999
7MBY-D1,ranked,ranked_3,1.951
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.698
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.039
7MBY-D1,ranked,ranked_4,1.675
7MBY-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.377
7MBY-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.359
