Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.17
Mod-5ranked_unsupervised_1.pdb,2.00
Mod-5ranked_unsupervised_2.pdb,2.01
Mod-5ranked_unsupervised_3.pdb,2.10
Mod-5ranked_unsupervised_4.pdb,2.21
