Model,MOLPROBITY
Mod-2best_unsupervised_0.pdb,2.03
Mod-2best_unsupervised_1.pdb,2.38
Mod-2best_unsupervised_2.pdb,2.12
Mod-2best_unsupervised_3.pdb,2.36
Mod-2best_unsupervised_4.pdb,2.08
