Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.15
Mod-5ranked_unsupervised_1.pdb,2.28
Mod-5ranked_unsupervised_2.pdb,2.18
Mod-5ranked_unsupervised_3.pdb,2.53
Mod-5ranked_unsupervised_4.pdb,2.25
