Model,PROCHECK
Mod-2best_supervised_0.pdb,98.6|1.1|0.0|0.3
Mod-2best_supervised_1.pdb,98.4|1.4|0.3|0.0
Mod-2best_supervised_2.pdb,98.6|0.8|0.3|0.3
Mod-2best_supervised_3.pdb,98.6|1.1|0.0|0.3
Mod-2best_supervised_4.pdb,98.4|1.4|0.0|0.3
