Model,PROSA
Mod-2best_supervised_0.pdb,-5.38
Mod-2best_supervised_1.pdb,-5.41
Mod-2best_supervised_2.pdb,-5.49
Mod-2best_supervised_3.pdb,-5.31
Mod-2best_supervised_4.pdb,-5.48
