Model,MOLPROBITY
Mod-5ranked_unsupervised_0.pdb,2.59
Mod-5ranked_unsupervised_1.pdb,2.35
Mod-5ranked_unsupervised_2.pdb,2.09
Mod-5ranked_unsupervised_3.pdb,1.99
Mod-5ranked_unsupervised_4.pdb,2.18
