Model,PROCHECK
Mod-2best_supervised_0.pdb,97.1|2.9|0.0|0.0
Mod-2best_supervised_1.pdb,95.6|3.7|0.7|0.0
Mod-2best_supervised_2.pdb,96.3|3.7|0.0|0.0
Mod-2best_supervised_3.pdb,96.3|3.7|0.0|0.0
Mod-2best_supervised_4.pdb,95.6|4.4|0.0|0.0
