Model,PROCHECK
ranked_0.pdb,92.5|7.3|0.2|0.0
ranked_1.pdb,92.4|7.5|0.0|0.2
ranked_2.pdb,93.6|6.4|0.0|0.0
ranked_3.pdb,91.1|8.0|0.5|0.4
ranked_4.pdb,92.2|7.5|0.0|0.4
