Model,PROCHECK
ranked_0.pdb,85.9|12.9|1.2|0.0
ranked_1.pdb,83.5|15.3|1.2|0.0
ranked_2.pdb,80.0|18.8|1.2|0.0
ranked_3.pdb,88.2|11.8|0.0|0.0
ranked_4.pdb,81.2|16.5|2.4|0.0
