Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-5.95
Mod-5ranked_unsupervised_1.pdb,-5.82
Mod-5ranked_unsupervised_2.pdb,-5.97
Mod-5ranked_unsupervised_3.pdb,-6.08
Mod-5ranked_unsupervised_4.pdb,-6.05
