Model,Q-MEAN_DisCo_Global
Mod-5ranked_unsupervised_0.pdb,/media/pc7/Data/Fabio/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
Mod-5ranked_unsupervised_1.pdb,0.53 ± 0.06
Mod-5ranked_unsupervised_2.pdb,0.54 ± 0.06
Mod-5ranked_unsupervised_3.pdb,0.53 ± 0.06
Mod-5ranked_unsupervised_4.pdb,0.54 ± 0.06
