7LX5-D1,ranked,ranked_0,1.120
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.151
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.111
7LX5-D1,ranked,ranked_1,1.068
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.549
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.163
7LX5-D1,ranked,ranked_2,1.531
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.229
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.296
7LX5-D1,ranked,ranked_3,1.696
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.598
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.179
7LX5-D1,ranked,ranked_4,6.417
7LX5-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.502
7LX5-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.063
