Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-5.7
Mod-5ranked_unsupervised_1.pdb,-5.7
Mod-5ranked_unsupervised_2.pdb,-5.66
Mod-5ranked_unsupervised_3.pdb,-5.56
Mod-5ranked_unsupervised_4.pdb,-5.5
