Model,MOLPROBITY
Mod-2best_supervised_0.pdb,2.90
Mod-2best_supervised_1.pdb,2.39
Mod-2best_supervised_2.pdb,2.39
Mod-2best_supervised_3.pdb,2.79
Mod-2best_supervised_4.pdb,2.78
