Model,PROCHECK
Mod-2best_unsupervised_0.pdb,93.3|4.5|2.2|0.0
Mod-2best_unsupervised_1.pdb,93.3|4.5|2.2|0.0
Mod-2best_unsupervised_2.pdb,94.4|3.4|2.2|0.0
Mod-2best_unsupervised_3.pdb,94.4|3.4|2.2|0.0
Mod-2best_unsupervised_4.pdb,93.3|4.5|1.1|1.1
