Model,PROSA
Mod-2best_supervised_0.pdb,-3.53
Mod-2best_supervised_1.pdb,-3.73
Mod-2best_supervised_2.pdb,-3.67
Mod-2best_supervised_3.pdb,-3.63
Mod-2best_supervised_4.pdb,-3.67
