Model,PROCHECK
Mod-2best_supervised_0.pdb,97.1|2.9|0.0|0.0
Mod-2best_supervised_1.pdb,96.5|2.9|0.0|0.6
Mod-2best_supervised_2.pdb,96.5|2.9|0.0|0.6
Mod-2best_supervised_3.pdb,97.1|1.7|1.2|0.0
Mod-2best_supervised_4.pdb,93.1|5.8|0.6|0.6
