Model,PROSA
Mod-2best_unsupervised_0.pdb,-13.17
Mod-2best_unsupervised_1.pdb,-13.1
Mod-2best_unsupervised_2.pdb,-13.06
Mod-2best_unsupervised_3.pdb,-13.16
Mod-2best_unsupervised_4.pdb,-13.24
