Model,MOLPROBITY
Mod-2best_supervised_0.pdb,1.87
Mod-2best_supervised_1.pdb,2.06
Mod-2best_supervised_2.pdb,1.90
Mod-2best_supervised_3.pdb,2.12
Mod-2best_supervised_4.pdb,2.05
