Model,PROSA
Mod-2best_unsupervised_0.pdb,-2.97
Mod-2best_unsupervised_1.pdb,-2.9
Mod-2best_unsupervised_2.pdb,-2.99
Mod-2best_unsupervised_3.pdb,-3.01
Mod-2best_unsupervised_4.pdb,-2.78
