Model,PROSA
Mod-5ranked_unsupervised_0.pdb,-9.09
Mod-5ranked_unsupervised_1.pdb,-9.2
Mod-5ranked_unsupervised_2.pdb,-9.15
Mod-5ranked_unsupervised_3.pdb,-9.06
Mod-5ranked_unsupervised_4.pdb,-9.02
