Model,PROCHECK
Mod-5ranked_unsupervised_0.pdb,97.8|1.9|0.3|0.0
Mod-5ranked_unsupervised_1.pdb,97.8|1.6|0.3|0.3
Mod-5ranked_unsupervised_2.pdb,98.4|1.4|0.3|0.0
Mod-5ranked_unsupervised_3.pdb,97.8|1.9|0.0|0.3
Mod-5ranked_unsupervised_4.pdb,98.4|1.4|0.0|0.3
