Model,Q-MEAN_DisCo_Global
ranked_0.pdb,/media/pc7/Data/Fabio/Modalpha/Bioinformatic_tools_Section/Google_Chrome_Selenium_Web_Bot
ranked_1.pdb,0.88 ± 0.07
ranked_2.pdb,0.88 ± 0.07
ranked_3.pdb,0.88 ± 0.07
ranked_4.pdb,0.87 ± 0.07
