Model,PROSA
Mod-2best_unsupervised_0.pdb,-8.91
Mod-2best_unsupervised_1.pdb,-8.92
Mod-2best_unsupervised_2.pdb,-9.07
Mod-2best_unsupervised_3.pdb,-9.17
Mod-2best_unsupervised_4.pdb,-9.01
