Model,PROCHECK
Mod-2best_supervised_0.pdb,96.6|3.4|0.0|0.0
Mod-2best_supervised_1.pdb,97.2|2.8|0.0|0.0
Mod-2best_supervised_2.pdb,96.9|2.8|0.3|0.0
Mod-2best_supervised_3.pdb,96.9|3.1|0.0|0.0
Mod-2best_supervised_4.pdb,96.9|2.8|0.0|0.3
