Model,PROCHECK
ranked_0.pdb,93.8|5.9|0.4|0.0
ranked_1.pdb,93.2|6.4|0.5|0.0
ranked_2.pdb,93.1|6.5|0.4|0.1
ranked_3.pdb,93.8|6.0|0.2|0.0
ranked_4.pdb,92.9|6.5|0.6|0.0
