Model,PROCHECK
Mod-2best_unsupervised_0.pdb,96.4|3.1|0.6|0.0
Mod-2best_unsupervised_1.pdb,96.4|3.1|0.6|0.0
Mod-2best_unsupervised_2.pdb,96.7|2.8|0.3|0.3
Mod-2best_unsupervised_3.pdb,97.2|2.5|0.3|0.0
Mod-2best_unsupervised_4.pdb,96.7|3.1|0.3|0.0
