Model,PROSA
Mod-2best_supervised_0.pdb,-7.64
Mod-2best_supervised_1.pdb,-7.6
Mod-2best_supervised_2.pdb,-7.54
Mod-2best_supervised_3.pdb,-7.6
Mod-2best_supervised_4.pdb,-7.55
