Model,Q-MEAN_DisCo_Global
Mod-5ranked_unsupervised_0.pdb,0.48
Mod-5ranked_unsupervised_1.pdb,0.50
Mod-5ranked_unsupervised_2.pdb,0.55
Mod-5ranked_unsupervised_3.pdb,0.53
Mod-5ranked_unsupervised_4.pdb,0.53
